x;y
664159;550946
665845;557965
597173;575538
618600;551446
635690;608046
588100;557588
582015;546191
604678;574577
572029;518313
604737;574591
577728;587566
602013;574722
627968;574625
607269;536961
603145;574795
671919;571761
612184;570393
600032;575310
627912;593892
601967;604428
591851;569051
601444;572693
629718;558104
661430;603567
597551;556737
601182;582584
562704;570596
605107;563429
607214;575069
568824;570203
612485;518009
589244;573777
625579;551084
560237;500154
626224;569687
610666;551701
597428;569940
600582;599535
604168;555003
613871;550423
617310;551945
625728;579460
606300;566708
638559;558807
582176;630383
544056;577786
631297;578351
561574;621747
604973;574773
605284;556134
617910;592293
555904;640401
526559;509417
603849;572396
598634;619900
603359;589262
657455;567754
614279;599251
578496;631434
645171;595209
688015;533535
656477;573007
540029;563888
597418;538362
613545;574733
628696;542447
604157;574191
603126;497987
605850;533310
596179;529556
610330;552628
598184;531473
620438;511694
600202;622079
603021;577991
515612;540643
606548;574376
593490;623110
607084;595500
583728;563146
616044;533807
624452;584622
604438;574666
625709;660145
601376;579831
565148;557305
639418;537903
612799;537497
583653;652182
599808;596484
605250;573272
606738;601356
611044;571814
575440;568511
616329;529516
605927;572533
609286;586782
647354;579190
606929;571420
562920;559223
680357;620811
707100;601463
604294;574368
614917;600946
611508;503220
603789;574474
551740;588768
546031;570429
569197;559307
688712;568754
604067;574091
606809;572101
588597;622592
613840;534167
576263;547239
597077;568196
601339;571609
606011;569426
593398;559764
593166;622725
609796;532982
712648;607541
585048;505097
525967;565687
660327;585901
607604;573951
604001;573587
591484;571087
613868;585089
645464;660478
538571;654649
555429;604551
597620;586226
586097;567445
545235;539822
649088;575733
599123;616977
563763;559454
617717;613939
618869;577243
567188;560044
636628;533309
560362;567914
595014;632844
605876;550640
604352;573425
600679;599545
596891;579476
614943;540976
604415;571400
603698;573585
658199;568743
598759;582942
671269;590258
593317;534085
657985;453405
608557;590278
623004;508050
601900;569391
641031;593074
589658;640498
567565;573952
559078;570088
639431;588155
566609;537592
568570;579335
660650;615038
667639;571164
596796;529933
606111;617846
616060;590779
602873;527864
571334;594145
602167;543919
605100;573307
546640;560043
585195;555011
651740;589474
589112;536573
582057;543124
690968;555952
609030;552436
632125;541413
603445;630598
628264;616214
577242;574073
604090;574392
607911;576556
600665;638890
600117;539079
631182;565466
695646;652231
619445;567491
613191;571942
567428;580005
590583;623314
606289;670243
585175;574133
634967;579020
614615;574437
593061;579188
606933;576409
606587;573873
594084;629464
683697;581516
601530;577183
603055;589818
616561;619007
607463;477085
611581;572630
579712;568354
602887;595245
600039;557139
605913;579526
579773;568698
606324;544357
605958;573728
606144;575076
667472;570571
580048;565009
597802;576113
610263;574422
603855;575180
624369;532153
599870;591110
577167;617095
658403;611332
563460;480559
610980;522819
569422;567790
627727;578737
592804;584539
540783;626497
591823;639096
637323;549567
638078;629421
611315;560757
647103;573853
522993;595581
601187;531825
533799;564377
649034;528813
620975;564344
622407;583192
597026;642918
551291;576721
608768;610525
697959;614701
658281;582264
546632;599204
672565;564468
636500;587401
696144;548705
533551;582247
526802;551524
553038;606418
696601;603624
588964;597435
